Unnamed: 0,content,title,title_article,Date
0,"Music is a fundamental attribute of the human species. Virtually all cultures, from the most primitive to the most advanced, make music. It's been true through history, and it's true throughout an individual's lifespan. In tune or not, we humans sing and hum; in time or not, we clap and sway; in step or not, we dance and bounce.","September 11, 2021",Music and health,
1,"The human brain and nervous system are hard-wired to distinguish music from noise and to respond to rhythm and repetition, tones, and tunes. Is this a biologic accident, or does it serve a purpose? It's not possible to say. Still, a varied group of studies suggests that music may enhance human health and performance.","September 11, 2021",Music and health,
2,"Like any sound, music arrives at the ear in the form of sound waves. The external ear collects sound waves, and the ear canal funnels them to the eardrum. As the waves strike the eardrum, they cause it to vibrate. The vibrations are relayed along the chain of tiny bones in the middle ear until they reach the third bone, the stapes, which connects to the cochlea.",Music and the brain,Music and health,
3,"The cochlea is a busy little world of its own. It is filled with fluid that surrounds some 10,000 to 15,000 tiny hair cells, or cilia. Vibrations of the stapes send fluid waves through the spiral-shaped cochlea. The fluid waves produce swaying movements of the hair cells. In turn, these cells release chemical neurotransmitters that activate the auditory nerve, sending miniature electric currents to the auditory cortex in the temporal lobe of the brain.",Music and the brain,Music and health,
4,"From there, things get even more complicated. Studies using MRI and positron emission tomography (PET) scans suggest that nerve networks in different parts of the brain bear primary responsibility for decoding and interpreting various properties of music. For example, a small area in the right temporal lobe is essential to perceive pitch, which forms the basis of melody (patterns of pitch over time), chords (several pitches that sound at the same time), and harmony (two or more melodies at the same time). Another nearby center is responsible for decoding timbre, the quality that allows the brain to distinguish between different instruments that are playing the same note. A different part of the brain, the cerebellum, processes rhythm, and the frontal lobes interpret the emotional content of music. And music that's powerful enough to be ""spine-tingling"" can light up the brain's ""reward center,"" much like pleasurable stimuli ranging from alcohol to chocolate.",Music and the brain,Music and health,
5,"Although every healthy human brain can perform all the complex tasks needed to perceive music, musicians' brains are, so to speak, more finely attuned to these tasks. At the other end of the spectrum, patients with brain damage may display remarkable defects in musicality; the noted neurologist and writer Dr. Oliver Sacks discusses many fascinating varieties of amusia in his book Musicophilia.",Music and the brain,Music and health,
6,"The neurobiology of music is a highly specialized field. But music also has major effects on many aspects of health, ranging from memory and mood to cardiovascular function and athletic performance.",Music and the brain,Music and health,
7,Protect yourself from the damage of chronic inflammation.,Music and the brain,Music and health,
8,"Science has proven that chronic, low-grade inflammation can turn into a silent killer that contributes to cardiovas­cular disease, cancer, type 2 diabetes and other conditions. Get simple tips to fight inflammation and stay healthy -- from Harvard Medical School experts.",Music and the brain,Music and health,
9,View Protect yourself from the damage of chronic inflammation.Couple running in woods,LEARN MORE,Music and health,
10,"The most highly publicized mental influence of music is the ""Mozart effect."" Struck by the observation that many musicians have unusual mathematical ability, researchers at the University of California, Irvine, investigated how listening to music affects cognitive function in general, and spatial-temporal reasoning in particular. In their first study, they administered standard IQ test questions to three groups of college students, comparing those who had spent 10 minutes listening to a Mozart piano sonata with a group that had been listening to a relaxation tape and one that had been waiting in silence. Mozart was the winner, consistently boosting test scores. Next, the investigators checked to see if the effect was specific to classical music or if any form of music would enhance mental performance. They compared Mozart's music with repetitive music by Philip Glass; again, Mozart seemed to help, improving spatial reasoning as measured by complex paper cutting and folding tasks and short-term memory as measured by a 16-item test.",Music and the mind,Music and health,
11,"How might music enhance cognitive performance? It's not clear, but the researchers speculated that listening to music helps organize the firing of nerve cells in the right half of the cerebral cortex, the part of the brain responsible for higher functions. According to this construct, music — or at least some forms of music — acts as an ""exercise"" that warms up selected brain cells, allowing them to process information more efficiently. It's an interesting theory, but before you rush out to stock up on recordings of Mozart's music, you should know that even in the original research, the ""Mozart effect"" was modest (8 to 9 IQ points) and temporary (15 minutes). And in reviewing 16 studies of Mozart's music and human cognitive function, a Harvard psychologist concluded that the effect was even smaller, amounting to no more than 2.1 IQ points. It's a sour note, but it's hardly a requiem for the theory that music may boost cognitive function. In fact, the divergent results should serve as a prelude to additional research. And even if listening to music turns out to have little long-term effect on cognition, a 2010 review reported that learning to play an instrument may enhance the brain's ability to master tasks involving language skills, memory, and attention.",Music and the mind,Music and health,
12,"In every era of human history and in every society around the globe, music has allowed people to express their feelings and communicate with others. More than simply expressing emotions, music can alter them; as British dramatist William Congreve put it in 1697, ""Music has charms to soothe a savage breast.""",Music and stress,Music and health,
13,Few things are more stressful than illness and surgery. Can music reduce stress in these difficult circumstances? Several trials show it can.,Music and stress,Music and health,
14,"A study from New York examined how music affects surgical patients. Forty cataract patients with an average age of 74 volunteered for the trial. Half were randomly assigned to receive ordinary care; the others got the same care but also listened to music of their choice through headphones before, during, and immediately after the operations. Before surgery, the patients in both groups had similar blood pressures; a week before the operations, the average was 129/82 millimeters of mercury (mm Hg). The average blood pressure in both groups rose to 159/92 just before surgery, and in both groups, the average heart rate jumped by 17 beats per minute. But the patients surrounded by silence remained hypertensive throughout the operation, while the pressures of those who listened to music came down rapidly and stayed down into the recovery room, where the average reduction was an impressive 35 mm Hg systolic (the top number) and 24 mm Hg diastolic (the bottom number). The listeners also reported that they felt calmer and better during the operation. The ophthalmologic surgeons had no problems communicating with their patients over the sound of the music, but the researchers didn't ask the doctors if their patients' improved blood pressure readings made them more relaxed as they did their work. Earlier research, though, found that surgeons showed fewer signs of stress and demonstrated improved performance while listening to self-selected music.",Music and stress,Music and health,
15,"A study of 80 patients undergoing urologic surgery under spinal anesthesia found that music can decrease the need for supplementary intravenous sedation. In this trial, patients were able to control the amount of sedative they received during their operation. Patients who were randomly assigned to listen to music needed less calming medication than those assigned to listen to white noise or to the chatter and clatter of the operating room itself.",Music and stress,Music and health,
16,"In the cataract and urologic surgery studies, the patients were awake during their operations. But a study of 10 critically ill postoperative patients reported that music can reduce the stress response even when patients are not conscious. All the patients were receiving the powerful intravenous sedative propofol, so they could be maintained on breathing machines in the intensive care unit (ICU). Half the patients were randomly assigned to wear headphones that played slow movements from Mozart piano sonatas, while the other half wore headphones that did not play music. Nurses who didn't know which patients were hearing music reported that those who heard music required significantly less propofol to maintain deep sedation than those patients wearing silent headphones. The music recipients also had lower blood pressures and heart rates as well as lower blood levels of the stress hormone adrenaline and the inflammation-promoting cytokine interleukin-6.",Music and stress,Music and health,
17,"Neither of the operating room studies specified the type of music used, while the ICU trial used slow classical music. An Italian study of 24 healthy volunteers, half of whom were proficient musicians, found that tempo is important. Slow or meditative music produced a relaxing effect; faster tempos produced arousal, but immediately after the upbeat music stopped, the subjects' heart rates and blood pressures came down to below their usual levels, indicating relaxation.",Music and stress,Music and health,
18,"Soothing jangled nerves is one thing; raising sagging spirits, another. Bright, cheerful music can make people of all ages feel happy, energetic, and alert, and music may even has a role in lifting the mood of people with depressive illnesses. Bach may never replace Prozac, but when it comes to depression, even a little help strikes a welcome chord.",Music and mood,Music and health,
19,"Falling is a serious medical problem, particularly for people over 65; in fact, one of every three senior citizens suffers at least one fall during the course of a year. Can music help? An older study says it can. The subjects were 134 men and women 65 and older who were at risk of falling but who were free of major neurologic and orthopedic problems that would limit walking. Half the volunteers were randomly assigned to a program that trained them to walk and perform various movements in time to music, while the other people continued their usual activities. At the end of six months, the ""dancers"" exhibited better gait and balance than their peers — and they also experienced 54% fewer falls. Similar programs of movement to music appear to improve the mobility of patients with Parkinson's disease.",Music and movement,Music and health,
20,"If there is a link between musicians and medics, perhaps musicians should be able to heal themselves. Many could use the help.",Maladies of musicians,Music and health,
21,"The most common problems stem from the repetitive motion of playing, often in combination with an awkward body position and the weight or pressure of the musical instrument. A Canadian study found that 39% to 47% of adult musicians suffer from overuse injuries; most involve the arms. The report suggests that musicians are as vulnerable to repetitive-use injury as newspaper workers (41% incidence) and that their risk is only slightly below that of assembly line food packers (56%). And since the survey included only classical musicians, it may underestimate the risk in the world of rock and pop. Even if music is good for the mind, it may not be so good for the wrist.",Maladies of musicians,Music and health,
22,"A particularly disabling ailment of highly trained musicians is focal dystonia, a movement disorder that may be caused by overuse of parts of the nervous system. Another hazard is hearing loss caused by prolonged exposure to loud music. Brass and wind players may develop skin rashes triggered by allergies to the metal in their instruments. And the list includes disorders ranging from fiddler's neck to Satchmo's syndrome (rupture of a muscle that encircles the mouth). One reassuring note: ""cello scrotum,"" first reported in the British Medical Journal in 1974, was revealed to be a hoax 34 years later.",Maladies of musicians,Music and health,
0,"Yes, according to a growing body of research. Listening to or making music affects the brain in ways that may help promote health and manage disease symptoms.",Can music be good for you?,Music and Health: What You Need To Know,
1,"Performing or listening to music activates a variety of structures in the brain that are involved in thinking, sensation, movement, and emotion. These brain effects may have physical and psychological benefits. For example, music causes the release of brain chemicals (neurotransmitters and hormones) that can evoke emotional reactions, memories, and feelings and promote social bonds. Music can even affect the structure of the brain. Certain structures in the brain have been found to be larger in musicians than nonmusicians, with particularly noticeable changes in people who started their musical training at an early age.",Can music be good for you?,Music and Health: What You Need To Know,
2,"Increasing evidence suggests that music-based interventions may be helpful for health conditions that occur during childhood, adulthood, or aging. However, because much of the research on music-based interventions is preliminary, few definite conclusions about their effects have been reached. Many reports on the potential benefits of music-based interventions come from observations of individuals or small groups of people. Evidence of this type is valuable for suggesting new ideas, but carefully designed, scientifically rigorous studies of larger numbers of people are needed to provide stronger evidence on whether music-based interventions are effective for specific purposes.",Can music be good for you?,Music and Health: What You Need To Know,
3,"Music therapy is a health profession in which music is used within a therapeutic relationship to address physical, emotional, cognitive, and social needs. The term “music therapy” is not a description of a specific type of intervention. Instead, it indicates the education, training, and credentials of the therapist who is delivering the intervention.",What is music therapy?,Music and Health: What You Need To Know,
4,"Music therapy may involve a variety of different activities, including music improvisation, music listening, song writing, music performance, and learning through music. Music therapists may work in many different settings, such as hospitals, outpatient clinics, nursing homes, senior centers, rehabilitation facilities, or schools.",What is music therapy?,Music and Health: What You Need To Know,
5,"Some of the music-based interventions described in this fact sheet fit the definition of music therapy, but others do not. For example, music-based interventions that involve listening to recorded music are often delivered by health professionals other than music therapists (such as nurses), and therefore do not fit the definition of music therapy.",What is music therapy?,Music and Health: What You Need To Know,
6,You can learn more about music therapy on the website of the American Music Therapy Association.,What is music therapy?,Music and Health: What You Need To Know,
7,"In general, research studies of music-based interventions do not show any negative effects. However, listening to music at too high a volume can contribute to noise-induced hearing loss. You can find out about this type of hearing loss on the National Institute on Deafness and Other Communication Disorders website.",Can music be harmful?,Music and Health: What You Need To Know,
8,"In addition, because music can be associated with strong memories or emotional reactions, some people may be distressed by exposure to specific pieces or types of music. Extensive playing of musical instruments can lead to pain and injury. Music-based interventions that involve exercise or other types of movement could also lead to injury if appropriate safety precautions are not taken.",Can music be harmful?,Music and Health: What You Need To Know,
9,What does research show about music-based interventions for people with health conditions?,Can music be harmful?,Music and Health: What You Need To Know,
10,"The preliminary research that has been done so far suggests that music-based interventions may be helpful for anxiety, depressive symptoms, and pain associated with a variety of health conditions, as well as for some other symptoms associated with dementia, multiple sclerosis, Parkinson’s disease, and other conditions. ",Can music be harmful?,Music and Health: What You Need To Know,
11,"As mentioned in other sections of this fact sheet, there’s evidence that music-based interventions may help to relieve pain associated with specific health conditions. The two review articles listed below describe evidence indicating that music may be helpful for pain more generally. Newer research continues to find evidence that music may be helpful for pain from a variety of causes, but not every study has shown a beneficial effect. ",Pain,Music and Health: What You Need To Know,
12,"A 2016 review looked at 97 studies (9,184 participants) of music-based interventions for acute or chronic pain associated with a variety of health problems and medical procedures. The overall evidence suggested that music-based interventions may have beneficial effects on both pain intensity and emotional distress from pain and may lead to decreased use of pain-relieving medicines.",Pain,Music and Health: What You Need To Know,
13,"A 2017 review of 14 randomized trials (1,178 participants) of music-based interventions for various types of chronic pain found that the interventions reduced self-reported chronic pain and associated depressive symptoms, with a greater effect when the music was chosen by the participant rather than the researcher. The study participants had a variety of conditions that can cause chronic pain, including cancer, fibromyalgia, multiple sclerosis, or osteoarthritis, and most of the interventions involved listening to recorded music.",Pain,Music and Health: What You Need To Know,
14,"Many but not all newer studies of music-based interventions for pain have had promising results. For example, in recent studies, music-based interventions were helpful for pain associated with childbirth, cancer chemotherapy, a procedure in which shock waves are used to break up kidney stones, retrieval of eggs for in vitro fertilization, treatment of nose fractures, and sickle cell disease. However, music didn’t seem to be helpful for reducing moderate pain further after use of a lidocaine spray for loop electrosurgical excision (a gynecological procedure), and the results of studies on pain during cystoscopy (a procedure in which a tube is inserted into the bladder) and pain during colonoscopy were inconsistent.",Pain,Music and Health: What You Need To Know,
15,"Music-based interventions have been evaluated for their effects on anxiety in a variety of disease conditions and health care settings. Some examples are given in this section, and others are discussed in the sections on specific health conditions. Most studies have had promising results, except for studies on anxiety associated with dental care.",Anxiety,Music and Health: What You Need To Know,
16,"A 2013 review of 26 studies (2,051 participants) showed that listening to recorded music significantly reduced anxiety in people who were waiting to have surgery. However, there was potential for bias in most of the studies because the investigators who performed the studies knew which participants had listened to music.",Anxiety,Music and Health: What You Need To Know,
17,"A 2016 review of 17 studies (1,381 participants) that evaluated the effect of music-based interventions on anxiety in adults with cancer suggested that the interventions may have a large anxiety-reducing effect. However, there was a high risk of bias in the studies. ",Anxiety,Music and Health: What You Need To Know,
18,"A 2015 review of 5 studies (290 participants) in people who were having dialysis treatments suggested that listening to music reduced anxiety. However, these studies have limitations because of their small size and high risk of bias.",Anxiety,Music and Health: What You Need To Know,
19,"A 2018 review concluded that it’s unclear whether listening to music is helpful for dental anxiety. Some studies have suggested that listening to music as a distraction may not be adequate to reduce anxiety in children or highly anxious adults who are having dental care. More active types of music-based interventions (for example, a music-assisted relaxation technique that’s taught to the patient in advance) might be helpful in dental settings but have not been evaluated in formal studies.",Anxiety,Music and Health: What You Need To Know,
20,It’s uncertain whether music-based interventions are helpful for people with ASD.,Autism Spectrum Disorder (ASD),Music and Health: What You Need To Know,
21,"A 2021 review of 22 studies (850 participants) on music therapy for children with ASD was unable to reach any definite conclusions on whether adding music therapy to their care is beneficial, although some studies had promising results. For example, some studies of educational music therapy (involving techniques such as musical games) showed possible benefits on the children’s speech, and some studies of improvisational music therapy (in which children produce music) showed possible benefits on social functioning.",Autism Spectrum Disorder (ASD),Music and Health: What You Need To Know,
22,"One particularly notable study of music therapy for children with ASD (which was included in the review described above) was a multinational trial involving 364 children from 9 countries. It is the largest study completed so far, and its design was especially rigorous. In this study, the severity of symptoms related to difficulties in social communication did not differ between children who received music therapy along with standard care and those who received standard care alone.",Autism Spectrum Disorder (ASD),Music and Health: What You Need To Know,
23,Preliminary evidence suggests that music-based interventions may be helpful for several types of distress in people with cancer.,Cancer,Music and Health: What You Need To Know,
24,"A 2021 review of randomized controlled trials (studies in which participants were randomly assigned to a music-based intervention group or a control group), which included 81 trials and 5,576 participants, concluded that in adults with cancer, music interventions may have a large anxiety-reducing effect, a moderately strong beneficial effect on depression, a moderate pain-reducing effect, and a large effect on the quality of life. Most of the trials had a high risk of bias, so their results need to be interpreted with caution. Only seven of the studies included in this review involved children. Two of these studies suggested a beneficial effect on anxiety; no other conclusions could be reached from the small amount of evidence available.",Cancer,Music and Health: What You Need To Know,
25,"A 2021 review of 11 studies (491 participants) on music interventions for children and adolescents with cancer, which included some studies that were less rigorous than a randomized controlled trial, found evidence suggesting that music-based interventions may decrease anxiety, perceived pain, and depression symptoms and improve state of mind, self-esteem, and quality of life.",Cancer,Music and Health: What You Need To Know,
26,Chronic Obstructive Pulmonary Disease (COPD),Cancer,Music and Health: What You Need To Know,
27,"A 2021 systematic review of 12 studies (812 participants) showed that music-based interventions were helpful for shortness of breath, anxiety, and sleep quality in adults with COPD but were not helpful for depression. Because the studies were brief (several days to 12 months) and because researchers measured effects in different ways in different studies, there is some uncertainty about the conclusions.",Cancer,Music and Health: What You Need To Know,
28,"Much research is being done on the potential benefits of music-based interventions for people with cognitive impairment or various types of dementia, such as Alzheimer’s disease. Limited evidence suggests that music-based interventions may improve emotional well-being, behavioral challenges, and quality of life in people with these conditions. Whether the interventions have benefits for cognitive functioning is unclear; effects might depend on the population studied or the type of intervention used.",Cognitive Impairment and Dementia,Music and Health: What You Need To Know,
29,"A 2018 review evaluated 22 studies (1,097 participants) of music-based interventions for people with dementia who were living in institutions. Some of the interventions were receptive (listening to music), some were active (singing, playing instruments, moving to music, etc.), and some were a combination of the two. The evidence from these studies indicated that music-based interventions probably reduce depressive symptoms and improve overall behavioral challenges. They may also improve emotional well-being and quality of life and reduce anxiety. However, the interventions may have little or no effect on agitation, aggression, or cognitive function.",Cognitive Impairment and Dementia,Music and Health: What You Need To Know,
30,"A 2021 review looked at 21 studies (1,472 participants) of people with either mild cognitive impairment or mild or moderate dementia; some of the people studied were living in institutions, but others were living in the community. All the music interventions were active; studies that only involved listening to music were not included. Nine of the studies (495 participants) were included in a quantitative analysis of effects on cognitive functioning; this analysis indicated that the music-based interventions had a small beneficial effect. There was also some evidence for beneficial effects on mood and quality of life.",Cognitive Impairment and Dementia,Music and Health: What You Need To Know,
